The program is using data type: float.
Dimension: 2.
Reading basic information about the lattice: Dimension DIM, Length L and primitive lattice vectors LattVectors
Reading the energy scale, number of orbitals NOrbitals and their positions OrbPositions
Reading data type and checking whether it is complex.
Filling the MU matrix.
i:0
dos is required? 1
cond_dc is required? 0
Filling the Gamma matrix.
Filling the Lambda matrix.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
2.44623 -0.0158243 -8.16914e-06 -0.0158241 7.9326e-05 0.0525651 -0.000118185
2.4608 -0.0156163 -7.91186e-06 -0.0156161 7.77174e-05 0.0522538 -0.000116789
2.47538 -0.0154124 -7.66517e-06 -0.0154122 7.61539e-05 0.0519462 -0.000115418
2.48995 -0.0152126 -7.42852e-06 -0.0152125 7.4634e-05 0.0516422 -0.000114071
2.50452 -0.0150169 -7.20135e-06 -0.0150167 7.31559e-05 0.0513417 -0.000112748
2.5191 -0.0148249 -6.9832e-06 -0.0148248 7.17181e-05 0.0510447 -0.000111447
2.53367 -0.0146368 -6.77359e-06 -0.0146366 7.03193e-05 0.0507511 -0.000110169
2.54824 -0.0144523 -6.57217e-06 -0.0144521 6.8958e-05 0.0504609 -0.000108912
2.56281 -0.0142713 -6.37846e-06 -0.0142712 6.76329e-05 0.0501739 -0.000107677
2.57739 -0.0140939 -6.19214e-06 -0.0140937 6.63428e-05 0.0498902 -0.000106463
2.59196 -0.0139197 -6.01283e-06 -0.0139196 6.50864e-05 0.0496097 -0.000105269
2.60653 -0.0137489 -5.84027e-06 -0.0137488 6.38626e-05 0.0493324 -0.000104095
2.62111 -0.0135813 -5.67402e-06 -0.0135811 6.26703e-05 0.0490581 -0.000102941
2.63568 -0.0134168 -5.51385e-06 -0.0134167 6.15085e-05 0.0487869 -0.000101806
2.65025 -0.0132553 -5.35952e-06 -0.0132552 6.03761e-05 0.0485186 -0.000100689
2.66482 -0.0130968 -5.21073e-06 -0.0130967 5.92721e-05 0.0482533 -9.95912e-05
2.6794 -0.0129412 -5.06722e-06 -0.0129411 5.81958e-05 0.0479908 -9.85108e-05
2.69397 -0.0127884 -4.92879e-06 -0.0127883 5.7146e-05 0.0477312 -9.74479e-05
2.70854 -0.0126383 -4.79521e-06 -0.0126382 5.61221e-05 0.0474744 -9.64021e-05
2.72312 -0.012491 -4.66625e-06 -0.0124908 5.51232e-05 0.0472204 -9.53731e-05
2.73769 -0.0123462 -4.54172e-06 -0.0123461 5.41484e-05 0.046969 -9.43604e-05
2.75226 -0.012204 -4.42144e-06 -0.0122039 5.31971e-05 0.0467203 -9.33638e-05
2.76683 -0.0120643 -4.30524e-06 -0.0120642 5.22686e-05 0.0464742 -9.23829e-05
2.78141 -0.011927 -4.19293e-06 -0.0119269 5.1362e-05 0.0462307 -9.14174e-05
2.79598 -0.0117921 -4.08435e-06 -0.011792 5.04768e-05 0.0459898 -9.0467e-05
2.81055 -0.0116595 -3.97936e-06 -0.0116594 4.96123e-05 0.0457513 -8.95312e-05
2.82513 -0.0115292 -3.87781e-06 -0.0115291 4.87679e-05 0.0455153 -8.861e-05
2.8397 -0.011401 -3.77954e-06 -0.0114009 4.7943e-05 0.0452818 -8.77029e-05
2.85427 -0.0112751 -3.68444e-06 -0.011275 4.7137e-05 0.0450506 -8.68096e-05
2.86884 -0.0111512 -3.5924e-06 -0.0111511 4.63494e-05 0.0448217 -8.59299e-05
2.88342 -0.0110295 -3.50329e-06 -0.0110294 4.55796e-05 0.0445952 -8.50635e-05
2.89799 -0.0109097 -3.41699e-06 -0.0109096 4.48271e-05 0.0443709 -8.42102e-05
2.91256 -0.0107919 -3.33338e-06 -0.0107918 4.40914e-05 0.0441489 -8.33696e-05
2.92714 -0.010676 -3.25237e-06 -0.0106759 4.33721e-05 0.0439291 -8.25415e-05
2.94171 -0.010562 -3.17385e-06 -0.010562 4.26686e-05 0.0437115 -8.17258e-05
2.95628 -0.0104499 -3.09774e-06 -0.0104498 4.19805e-05 0.0434961 -8.0922e-05
2.97085 -0.0103396 -3.02393e-06 -0.0103395 4.13075e-05 0.0432827 -8.01301e-05
2.98543 -0.010231 -2.95237e-06 -0.0102309 4.0649e-05 0.0430714 -7.93497e-05
3 -0.0101241 -2.88295e-06 -0.0101241 4.00047e-05 0.0428622 -7.85807e-05
cond_optical is required? 1
